entity,ger,life_expectancy,unemp_rural,unemp_urban,cd_ratio,per_capita_power,td_losses,road_density,factory_density,msme_density,manufacturing_share,investment_rate,population,per_capita_nsdp
Andaman & Nicobar Islands,89.1,,,,52.5,,25.2,470.64706774781735,3.2338329179289778,5424.132828880104,0.5450293773095902,0.005427678446236583,4.019997424086308,263984.0
Andhra Pradesh,78.5,68.5,34.0,59.0,157.2,1481.6,14.2,336.62311424370637,30.16450268729982,7194.123677729626,10.420863676897502,2.1998281537171787,530.7894569314786,219917.0
Arunachal Pradesh,56.7,,50.0,128.0,32.2,666.2,43.0,3402.9656378420914,12.797455626475474,3027.4021159394947,1.6745637757088692,0.2861893992954445,15.549966009517336,204469.0
Assam,61.5,67.0,35.0,74.0,66.0,356.2,17.6,1265.8202639527146,17.004478839525575,4097.354130770266,11.15846830847155,2.0721264745329813,355.72980842785813,121573.0
Bihar,44.7,69.1,26.0,73.0,53.5,343.9,25.8,237.77756098275282,2.6875144253464933,3285.3578033744793,7.96584052373128,1.6428678626281747,1259.9002141406006,54637.0
Chandigarh,108.7,,,71.0,75.0,1568.8,16.0,211.41946572445386,18.270818025570087,6436.3850464184625,2.7618028194499247,0.20184219423981312,12.259987466708445,408512.0
Chhattisgarh,65.6,62.8,15.0,76.0,83.2,1414.6,22.2,371.62208379390086,17.34529363368293,4373.381078945978,15.530130062808183,2.609038128816218,300.36966280482386,134996.0
Dadra & Nagar Haveli and Daman & Diu,86.4,,23.0,23.0,52.1,14563.8,,,,,,,,
Delhi,91.7,73.0,60.0,20.0,88.1,1758.0,11.6,83.91610917168427,13.083288582766247,6691.906308975601,3.972346862613189,0.20086906574703572,211.9497695443858,417217.0
Goa,100.8,,89.0,82.0,28.6,3417.6,7.1,1207.6384958982867,43.793763713789865,8131.827192151699,35.488635207094795,4.145432280437691,15.709999361926531,532854.0
Gujarat,61.0,67.4,4.0,23.0,88.4,2098.7,14.9,366.31193453069477,46.81869818227572,5995.085742124462,35.204311994924815,5.6136934906190605,711.4892402670572,272451.0
Haryana,81.0,66.3,31.0,40.0,76.2,2293.5,18.8,178.78124040552464,34.563219817875535,6503.281566259647,18.59201478341154,3.5480713527559105,300.57963507864446,289213.0
Himachal Pradesh,93.6,69.9,50.0,90.0,39.2,1802.8,14.2,913.940327628953,35.55613759200079,4494.617809478789,26.95775408970178,2.6154840969031774,74.53002996017716,214952.0
Jammu & Kashmir,55.2,72.9,50.0,114.0,60.6,1480.2,,875.9131760826251,7.36619157096533,6040.84485270705,6.244595539959329,0.4374729999717972,135.61960619347323,123614.0
Jharkhand,60.6,69.5,5.0,58.0,41.1,378.6,23.0,213.86627588600723,7.358801255742775,3864.297832562669,20.406823100522573,2.282857571716308,392.59111635138095,95839.0
Karnataka,81.3,67.5,19.0,42.0,72.6,1357.3,16.3,547.5623032072475,22.19356794060218,7219.231133550119,13.02866259772118,1.5325903825299845,675.1505679529525,310325.0
Kerala,94.1,71.7,76.0,67.0,70.8,880.3,13.5,723.4154501906893,21.077393358627997,5043.880707831336,8.431330529629948,0.5855549883976275,357.1599140326536,257307.0
Ladakh,70.4,,39.0,134.0,44.2,,,,9.666683900597066,6620.67847012617,1.04984120262545,0.10840567435951726,2.9999946515483766,186970.0
Lakshadweep,65.3,,83.0,138.0,12.7,1014.5,14.0,,,,,,,
Madhya Pradesh,56.7,65.3,5.0,28.0,81.7,1190.6,22.4,428.6428545611227,5.922305959500876,5449.794859776786,7.859223738379463,1.531861190836002,861.4887570634716,127947.0
Maharashtra,82.1,70.8,22.0,52.0,85.7,1584.2,14.8,484.1051372902519,21.066168373930914,7856.348044265265,15.394729728344156,2.3010428680747657,1259.7924562703884,252289.0
Manipur,68.7,,55.0,75.0,79.7,328.9,21.4,1018.8205723081775,7.6659283289842675,5403.544602625496,1.5473099886233612,0.04299596072146079,32.09004695098616,107133.0
Meghalaya,62.5,,51.0,140.0,40.7,606.7,22.1,1315.1303952955664,5.707489340131297,2107.074267745764,8.580903859798712,1.9998636319104122,33.6400102668581,124673.0
Mizoram,73.7,,13.0,34.0,51.8,568.0,18.7,1574.854154267078,16.544971030512098,4130.565561686182,0.3939488899525815,-0.014910827740338093,12.33003065546533,213665.0
Nagaland,50.5,,57.0,113.0,53.5,417.2,20.5,1694.761160640874,8.732650521217906,3255.4873314868496,0.8302236597815976,0.022619349947937503,22.32999013600789,138889.0
Odisha,72.3,69.2,26.0,68.0,51.0,920.4,21.3,658.4685825066306,7.108495965110422,5095.324843263241,18.160133652330046,6.0357960726981155,461.56036608920454,134612.0
Puducherry,96.9,,19.0,65.0,74.6,2109.3,14.6,341.83979243702635,46.68702118531533,6525.75353939815,22.47407621005143,3.708786900265663,16.3000333000333,231231.0
Punjab,86.0,69.3,54.0,56.0,61.3,2503.4,14.2,461.21672884324863,40.8177797103558,6461.427246024042,16.58745089404038,3.059773465329952,322.55551608701734,185802.0
Rajasthan,74.2,67.1,32.0,77.0,94.2,1386.3,20.3,329.26031166204166,13.473504326788367,5354.10258747863,11.253023482924819,2.163217187449162,806.6201439808026,150020.0
Sikkim,60.2,,22.0,30.0,43.8,820.1,27.7,1792.4202066101352,12.68221844299624,5139.35969455489,34.87771181835278,0.5232002282337599,6.859998539770129,520466.0
Tamil Nadu,89.4,70.6,31.0,41.0,120.5,1691.7,15.3,355.59655930707913,52.26464628850851,7882.5341265107745,18.343927616646713,2.7760425808840568,767.6508471620797,275272.0
Telangana,83.6,68.5,35.0,73.0,120.5,2306.1,12.2,372.11478118890153,35.38511561432793,9800.36120203875,9.11141681513324,1.6138349248980302,379.9902802791896,312046.0
Tripura,67.7,,14.0,32.0,45.4,463.7,28.8,856.1025608509071,17.00577243116403,7484.1387030176675,2.643147391024839,0.09804026780914181,41.28010079174914,153584.0
Uttar Pradesh,60.9,65.5,22.0,67.0,54.0,692.2,20.9,195.93504836030394,9.434023359440964,3540.8675007880797,11.127643651657364,1.7640358767672737,2346.9308010396976,84640.0
Uttarakhand,87.1,67.5,39.0,58.0,43.5,1423.2,18.4,549.5735845470259,25.002193414355343,5422.878228347722,26.16334323872886,2.856600124538425,115.86983397771208,219850.0
West Bengal,75.2,70.7,23.0,33.0,54.3,714.0,18.2,288.41621551256463,10.22108468947952,5244.359977118378,13.355558766922746,1.2532015827631091,988.8382991682921,137909.0
