state,competitiveness_score,Rank,Indicators_Available,Coverage_Percent
Goa,0.6099712555026287,1,10,91
Tamil Nadu,0.6045302111178306,2,11,100
Gujarat,0.5944864912151328,3,11,100
Puducherry,0.5650478831986139,4,10,91
Telangana,0.5232646024856416,5,11,100
Andhra Pradesh,0.5066623272984668,6,11,100
Punjab,0.5058553171643613,7,11,100
Maharashtra,0.5049180041051018,8,11,100
Himachal Pradesh,0.4892609419335175,9,11,100
Haryana,0.48049440097557644,10,11,100
Uttarakhand,0.45163402729640006,11,11,100
Karnataka,0.44557474411360637,12,11,100
Delhi,0.44557196086681417,13,11,100
Odisha,0.4346674454905238,14,11,100
Kerala,0.41660273193599784,15,11,100
Sikkim,0.39712657862458733,16,10,91
West Bengal,0.39160157526960687,17,11,100
Rajasthan,0.37394316292634644,18,11,100
Chandigarh,0.36963223396069145,19,10,91
Assam,0.3531923472841035,20,11,100
Jharkhand,0.3444235161111078,21,11,100
Chhattisgarh,0.33473540495025916,22,11,100
Mizoram,0.3306037207716054,23,10,91
Madhya Pradesh,0.3259537695009158,24,11,100
Tripura,0.31958941453352513,25,10,91
Jammu & Kashmir,0.2946233773889578,26,10,91
Uttar Pradesh,0.280112166605109,27,11,100
Manipur,0.27624283246038905,28,10,91
Andaman & Nicobar Islands,0.2539214267121648,29,8,73
Bihar,0.2452981702054382,30,11,100
Meghalaya,0.22263560327216472,31,10,91
Nagaland,0.2043984417528924,32,10,91
Arunachal Pradesh,0.19775968327866042,33,10,91
Dadra & Nagar Haveli and Daman & Diu,,,4,36
Ladakh,,,7,64
Lakshadweep,,,5,45
