state,factor_conditions,related_supporting
Andaman & Nicobar Islands,0.3953807097903295,0.11246214363400005
Andhra Pradesh,0.5294408795139897,0.466799860921302
Arunachal Pradesh,0.2612988109245884,0.10245099180976842
Assam,0.3837111873184092,0.29978437722406825
Bihar,0.2936264921223696,0.16072360685080817
Chandigarh,0.4526609913231891,0.2450890979169449
Chhattisgarh,0.3181279412200241,0.3637984664781706
Dadra & Nagar Haveli and Daman & Diu,0.7065721788829238,
Delhi,0.5654320491535644,0.2358168063650014
Goa,0.4666462312143283,0.8249587919350788
Gujarat,0.4602406724269087,0.829416674094525
Haryana,0.42337951925389045,0.5804454439885268
Himachal Pradesh,0.459558043659045,0.5412410139138443
Jammu & Kashmir,0.34984353895877623,0.21179313503423003
Jharkhand,0.35943147651825597,0.3181595853985985
Karnataka,0.4610863542572144,0.41842942636229263
Kerala,0.5002428923359131,0.2702324512361464
Ladakh,0.2889927533323821,0.19163438922299667
Lakshadweep,0.23556755196304283,
Madhya Pradesh,0.3739132032715721,0.24202476040226725
Maharashtra,0.5179834816165264,0.4820534184601086
Manipur,0.3651816107996302,0.14283466495152738
Meghalaya,0.2665296325813083,0.1567945593084492
Mizoram,0.46058395780154293,0.13563336522669892
Nagaland,0.2923569645793931,0.0724606575131413
Odisha,0.3996441741216321,0.495958170386084
Puducherry,0.4906756014031675,0.6766063058917837
Punjab,0.4656755161912445,0.5761699688673156
Rajasthan,0.4006219677096908,0.32725525455549387
Sikkim,0.38399900908614765,0.416817932932247
Tamil Nadu,0.5609120791626114,0.6808619420394639
Telangana,0.5112570691700105,0.5442777857879958
Tripura,0.3542333631157071,0.2676234916602521
Uttar Pradesh,0.3084181965196114,0.23057661425472978
Uttarakhand,0.4111454304071561,0.522489071852577
West Bengal,0.45270744654565587,0.2846663005365213
