state,cluster
Goa,Strong on both parts
Tamil Nadu,Strong on both parts
Gujarat,Strong on both parts
Puducherry,Strong on both parts
Telangana,Strong on both parts
Andhra Pradesh,Strong on both parts
Punjab,Strong on both parts
Maharashtra,Strong on both parts
Himachal Pradesh,Strong on both parts
Haryana,Strong on both parts
Uttarakhand,Strong on both parts
Karnataka,"Strong basic conditions, weaker industry"
Delhi,"Strong basic conditions, weaker industry"
Odisha,Strong on both parts
Kerala,"Strong basic conditions, weaker industry"
Sikkim,Weak on both parts
West Bengal,"Strong basic conditions, weaker industry"
Rajasthan,Weak on both parts
Chandigarh,"Strong basic conditions, weaker industry"
Assam,Weak on both parts
Jharkhand,Weak on both parts
Chhattisgarh,Weak on both parts
Mizoram,"Strong basic conditions, weaker industry"
Madhya Pradesh,Weak on both parts
Tripura,Weak on both parts
Jammu & Kashmir,Weak on both parts
Uttar Pradesh,Weak on both parts
Manipur,Weak on both parts
Andaman & Nicobar Islands,Weak on both parts
Bihar,Weak on both parts
Meghalaya,Weak on both parts
Nagaland,Weak on both parts
Arunachal Pradesh,Weak on both parts
